Major groups of PIDs	Subgroups of PIDs	Disease	Gene	Inheritance	OMIM number	GDI-Phred
VI. Defects in Innate Immunity	Chronic mucocutaneous candidiasis (CMC)	STAT1 gain-of-function	STAT1	AD	614162	0.73972
VI. Defects in Innate Immunity	Chronic mucocutaneous candidiasis (CMC)	ACT1 deficiency	TRAF3IP2	AR	615527	5.71579
VI. Defects in Innate Immunity	Trypanosomiasis	NA	APOL1	AD	603743	4.95097
VI. Defects in Innate Immunity	Isolated congenital asplenia (ICA)	NA	RPSA	AD	271400	0.15368
VII. Autoinflammatory Disorders	Defects effecting the inflammasome	Familial Mediterranean Fever	MEFV	AR	249100	7.13488
VII. Autoinflammatory Disorders	Defects effecting the inflammasome	Mevalonate kinase deficiency (Hyper IgD syndrome)	MVK	AR	260920	3.67097
VII. Autoinflammatory Disorders	Defects effecting the inflammasome	Muckle-Wells syndrome	NLRP3	AD	191900	1.87076
VII. Autoinflammatory Disorders	Defects effecting the inflammasome	Familial cold autoinflammatory syndrome  	NLRP12	AD	120100	11.08055
VII. Autoinflammatory Disorders	Non inflammasome-related conditions	TNF receptor-associated periodic syndrome (TRAPS)	TNFRSF1A	AD	142680	2.71793
VII. Autoinflammatory Disorders	Non inflammasome-related conditions	Early onset inflammatory  bowel disease  	IL10	AR	124092	0.21135
VII. Autoinflammatory Disorders	Non inflammasome-related conditions	Early onset inflammatory  bowel disease  	IL10RA	AR	146933	4.86232
VII. Autoinflammatory Disorders	Non inflammasome-related conditions	Early onset inflammatory  bowel disease  	IL10RB	AR	123889	10.33886
VII. Autoinflammatory Disorders	Non inflammasome-related conditions	"Pyogenic sterile arthritis, pyoderma gangrenosum, acne (PAPA) syndrome  "	PSTPIP1 	AD	604416	3.21350
VII. Autoinflammatory Disorders	Non inflammasome-related conditions	Blau syndrome	NOD2	AD	186580	4.62729
VII. Autoinflammatory Disorders	Non inflammasome-related conditions	Chronic recurrent multifocal osteomyelitis and congenital dyserythropoietic anemia (Majeed syndrome) 	LPIN2 	AR	609628	3.31663
VII. Autoinflammatory Disorders	Non inflammasome-related conditions	DIRA (Deficiency of the Interleukin 1 Receptor Antagonist)	IL1RN 	AR	612852	0.67491
VII. Autoinflammatory Disorders	Non inflammasome-related conditions	DITRA – Deficiency of IL-36 receptor antagonist 	IL36RN	AR	614204	2.75336
VII. Autoinflammatory Disorders	Non inflammasome-related conditions	SLC29A3  mutation	SLC29A3	AR	602782	18.55162
VII. Autoinflammatory Disorders	Non inflammasome-related conditions	CAMPS (CARD14 mediated psoriasis )	CARD14 	AD	173200	9.49890
VII. Autoinflammatory Disorders	Non inflammasome-related conditions	Cherubism	SH3BP2 	AD	11840	2.23361
VII. Autoinflammatory Disorders	Non inflammasome-related conditions	CANDLE (chronic atypical neutrophilic dermatitis with lipodystrophy)	PSMB8 	AD	256040	7.64727
VII. Autoinflammatory Disorders	Non inflammasome-related conditions	HOIL-1 deficiency 	RBCK1	AR	610924	0.61540
VII. Autoinflammatory Disorders	Non inflammasome-related conditions	PLAID (PLC?2 associated antibody deficiency and immune dysregulation)	PLCG2 	AD	614878	5.24986
VIII. Complement Deficiencies	NA	C1q deficiency	C1QA	AR	120550	0.31014
VIII. Complement Deficiencies	NA	C1q deficiency	C1QB	AR	601269	0.75740
VIII. Complement Deficiencies	NA	C1q deficiency	C1QC	AR	120575	0.85444
VIII. Complement Deficiencies	NA	C1r deficiency	C1R	AR	216950	7.67058
VIII. Complement Deficiencies	NA	C1s deficiency	C1S	AR	120580	6.58867
VIII. Complement Deficiencies	NA	C4 deficiency	C4A	AR	120810	1.32179
VIII. Complement Deficiencies	NA	C4 deficiency	C4B	AR	120820	0.76798
VIII. Complement Deficiencies	NA	C2 deficiency	C2	AR	217000	3.08646
VIII. Complement Deficiencies	NA	C3 deficiency	C3	AR/AD	120700	4.43999
VIII. Complement Deficiencies	NA	C5 deficiency	C5	AR	120900	15.54132
VIII. Complement Deficiencies	NA	C6 deficiency	C6	AR	217050	5.69020
VIII. Complement Deficiencies	NA	C7 deficiency	C7	AR	217070	12.19075
VIII. Complement Deficiencies	NA	C8? deficiency	C8A	AR	120950	10.18787
VIII. Complement Deficiencies	NA	C8? deficiency	C8G	AR	120950	5.57646
VIII. Complement Deficiencies	NA	C8b deficiency	C8B	AR	120960	4.94126
VIII. Complement Deficiencies	NA	C9 deficiency	C9	AR	613825	3.71776
VIII. Complement Deficiencies	NA	C1 inhibitor deficiency	SERPING1	AD	138470	7.30820
VIII. Complement Deficiencies	NA	Factor B	CFB	AD	138470	4.88072
VIII. Complement Deficiencies	NA	Factor D deficiency	CFD	AR	134350	3.35060
VIII. Complement Deficiencies	NA	Properdin deficiency	CFP	XL	312060	1.86633
VIII. Complement Deficiencies	NA	Factor I deficiency	CFI	AR	610984	2.21508
VIII. Complement Deficiencies	NA	Factor H deficiency	CFH	AR	609814	6.09993
VIII. Complement Deficiencies	NA	Factor H –related protein deficiencies	CFHR3	AR	235400	4.17191
VIII. Complement Deficiencies	NA	Factor H –related protein deficiencies	CFHR1	AR	235400	1.83843
VIII. Complement Deficiencies	NA	Thrombomodulin	THBD	AD	188040	5.10144
VIII. Complement Deficiencies	NA	MASP1 deficiency 	MASP1	AR	600521	4.77477
VIII. Complement Deficiencies	NA	MASP2 deficiency	MASP2	AR	605102	6.18949
VIII. Complement Deficiencies	NA	3MC syndrome (COLEC11 deficiency)	COLEC11	AR	612502	6.71501
VIII. Complement Deficiencies	NA	Complement Receptor 2 (CR2) deficiency	CR2	AR	614699	15.21947
VIII. Complement Deficiencies	NA	Complement Receptor 3 (CR3) deficiency	ITGB2	AR	116920	2.32291
VIII. Complement Deficiencies	NA	Membrane Cofactor Protein (CD46) deficiency	CD46	AD	120920	1.49781
VIII. Complement Deficiencies	NA	Membrane Attack Complex Inhibitor (CD59) deficiency	CD59	AR	107271	0.02628
VIII. Complement Deficiencies	NA	Ficolin 3 deficiency	FCN3	AR	604973	3.01786
